ProductID,Name,Platform,PlatformID,Year,Genre,GenreID,Publisher,PublisherID,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
34,Call of Duty: Black Ops 3,PS4,34,2015,Shooter,34,Activision,34,5.77,5.81,0.35,2.31,14.24
35,Call of Duty: Black Ops II,PS3,35,2012,Shooter,35,Activision,35,4.99,5.88,0.65,2.52,14.03
36,Call of Duty: Black Ops II,X360,36,2012,Shooter,36,Activision,36,8.25,4.3,0.07,1.12,13.73
37,Call of Duty: Modern Warfare 2,X360,37,2009,Shooter,37,Activision,37,8.52,3.63,0.08,1.29,13.51
38,Call of Duty: Modern Warfare 3,PS3,38,2011,Shooter,38,Activision,38,5.54,5.82,0.49,1.62,13.46
39,Grand Theft Auto III,PS2,39,2001,Action,39,Take-Two Interactive,39,6.99,4.51,0.3,1.3,13.1
40,Super Smash Bros. Brawl,Wii,40,2008,Fighting,40,Nintendo,40,6.75,2.61,2.66,1.02,13.04
41,Call of Duty: Black Ops,PS3,41,2010,Shooter,41,Activision,41,5.98,4.44,0.48,1.83,12.73
42,Animal Crossing: Wild World,DS,42,2005,Simulation,42,Nintendo,42,2.55,3.52,5.33,0.88,12.27
43,Mario Kart 7,3DS,43,2011,Racing,43,Nintendo,43,4.74,3.91,2.67,0.89,12.21
44,Halo 3,X360,44,2007,Shooter,44,Microsoft Game Studios,44,7.97,2.83,0.13,1.21,12.14
45,Grand Theft Auto V,PS4,45,2014,Action,45,Take-Two Interactive,45,3.8,5.81,0.36,2.02,11.98
46,Pokemon HeartGold/Pokemon SoulSilver,DS,46,2009,Action,46,Nintendo,46,4.4,2.77,3.96,0.77,11.9
47,Super Mario 64,N64,47,1996,Platform,47,Nintendo,47,6.91,2.85,1.91,0.23,11.89
48,Gran Turismo 4,PS2,48,2004,Racing,48,Sony Computer Entertainment,48,3.01,0.01,1.1,7.53,11.66
49,Super Mario Galaxy,Wii,49,2007,Platform,49,Nintendo,49,6.16,3.4,1.2,0.76,11.52
50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,50,2014,Role-Playing,50,Nintendo,50,4.23,3.37,3.08,0.65,11.33
51,Super Mario Land 2: 6 Golden Coins,GB,51,1992,Adventure,51,Nintendo,51,6.16,2.04,2.69,0.29,11.18
52,Grand Theft Auto IV,X360,52,2008,Action,52,Take-Two Interactive,52,6.76,3.1,0.14,1.03,11.02
53,Gran Turismo,PS,53,1997,Racing,53,Sony Computer Entertainment,53,4.02,3.87,2.54,0.52,10.95
54,Super Mario 3D Land,3DS,54,2011,Platform,54,Nintendo,54,4.89,2.99,2.13,0.78,10.79
55,Gran Turismo 5,PS3,55,2010,Racing,55,Sony Computer Entertainment,55,2.96,4.88,0.81,2.12,10.77
56,Call of Duty: Modern Warfare 2,PS3,56,2009,Shooter,56,Activision,56,4.99,3.69,0.38,1.63,10.69
57,Grand Theft Auto IV,PS3,57,2008,Action,57,Take-Two Interactive,57,4.76,3.76,0.44,1.62,10.57
58,Super Mario All-Stars,SNES,58,1993,Platform,58,Nintendo,58,5.99,2.15,2.12,0.29,10.55
59,Pokemon FireRed/Pokemon LeafGreen,GBA,59,2004,Role-Playing,59,Nintendo,59,4.34,2.65,3.15,0.35,10.49
60,Super Mario 64,DS,60,2004,Platform,60,Nintendo,60,5.08,3.11,1.25,0.98,10.42
61,Just Dance 3,Wii,61,2011,Misc,61,Ubisoft,61,6.05,3.15,0,1.07,10.26
62,Call of Duty: Ghosts,X360,62,2013,Shooter,62,Activision,62,6.72,2.63,0.04,0.82,10.21
63,Halo: Reach,X360,63,2010,Shooter,63,Microsoft Game Studios,63,7.03,1.98,0.08,0.78,9.88
64,Mario Kart 64,N64,64,1996,Racing,64,Nintendo,64,5.55,1.94,2.23,0.15,9.87
65,New Super Mario Bros. 2,3DS,65,2012,Platform,65,Nintendo,65,3.66,3.07,2.47,0.63,9.82
66,Halo 4,X360,66,2012,Shooter,66,Microsoft Game Studios,66,6.63,2.36,0.04,0.73,9.76
67,Final Fantasy VII,PS,67,1997,Role-Playing,67,Sony Computer Entertainment,67,3.01,2.47,3.28,0.96,9.72
68,Call of Duty: Ghosts,PS3,68,2013,Shooter,68,Activision,68,4.09,3.73,0.38,1.38,9.59
69,Just Dance 2,Wii,69,2010,Misc,69,Ubisoft,69,5.84,2.89,0.01,0.78,9.52
70,Gran Turismo 2,PS,70,1999,Racing,70,Sony Computer Entertainment,70,3.88,3.42,1.69,0.5,9.49
71,Call of Duty 4: Modern Warfare,X360,71,2007,Shooter,71,Activision,71,5.91,2.38,0.13,0.9,9.32
72,Donkey Kong Country,SNES,72,1994,Platform,72,Nintendo,72,4.36,1.71,3,0.23,9.3
73,Minecraft,X360,73,2013,Misc,73,Microsoft Game Studios,73,5.58,2.83,0.02,0.77,9.2
74,Animal Crossing: New Leaf,3DS,74,2012,Simulation,74,Nintendo,74,2.01,2.32,4.36,0.41,9.09
75,Mario Party DS,DS,75,2007,Misc,75,Nintendo,75,4.46,1.88,1.98,0.7,9.02
76,The Elder Scrolls V: Skyrim,X360,76,2011,Role-Playing,76,Bethesda Softworks,76,5.03,2.86,0.1,0.85,8.84
77,Super Mario Kart,SNES,77,1992,Racing,77,Nintendo,77,3.54,1.24,3.81,0.18,8.76
78,FIFA 16,PS4,78,2015,Sports,78,Electronic Arts,78,1.11,6.06,0.06,1.26,8.49
79,Wii Party,Wii,79,2010,Misc,79,Nintendo,79,1.79,3.53,2.49,0.68,8.49
80,Halo 2,XB,80,2004,Shooter,80,Microsoft Game Studios,80,6.82,1.53,0.05,0.08,8.49
81,Mario Party 8,Wii,81,2007,Misc,81,Nintendo,81,3.81,2.3,1.58,0.73,8.42
82,Pokemon Black 2/Pokemon White 2,DS,82,2012,Role-Playing,82,Nintendo,82,2.91,1.86,3.14,0.43,8.33
83,FIFA Soccer 13,PS3,83,2012,Action,83,Electronic Arts,83,1.06,5.05,0.13,2.01,8.24
84,The Sims 3,PC,84,2009,Simulation,84,Electronic Arts,84,0.98,6.42,0,0.71,8.11
85,GoldenEye 007,N64,85,1997,Shooter,85,Nintendo,85,5.8,2.01,0.13,0.15,8.09
86,Mario & Sonic at the Olympic Games,Wii,86,2007,Sports,86,Sega,86,2.58,3.9,0.66,0.91,8.06
87,Final Fantasy X,PS2,87,2001,Role-Playing,87,Sony Computer Entertainment,87,2.91,2.07,2.73,0.33,8.05
88,Final Fantasy VIII,PS,88,1999,Role-Playing,88,SquareSoft,88,2.28,1.72,3.63,0.23,7.86
89,Pokémon Platinum Version,DS,89,2008,Role-Playing,89,Nintendo,89,2.82,1.78,2.69,0.55,7.84
90,Pac-Man,2600,90,1982,Puzzle,90,Atari,90,7.28,0.45,0,0.08,7.81
91,Grand Theft Auto: Liberty City Stories,PSP,91,2005,Action,91,Take-Two Interactive,91,2.9,2.83,0.24,1.75,7.72
92,Super Mario Galaxy 2,Wii,92,2010,Platform,92,Nintendo,92,3.66,2.42,0.98,0.64,7.69
93,Star Wars Battlefront (2015),PS4,93,2015,Shooter,93,Electronic Arts,93,2.93,3.29,0.22,1.23,7.67
94,Call of Duty: Advanced Warfare,PS4,94,2014,Shooter,94,Activision,94,2.8,3.3,0.14,1.37,7.6
95,The Legend of Zelda: Ocarina of Time,N64,95,1998,Action,95,Nintendo,95,4.1,1.89,1.45,0.16,7.6
96,Crash Bandicoot 2: Cortex Strikes Back,PS,96,1997,Platform,96,Sony Computer Entertainment,96,3.78,2.17,1.31,0.31,7.58
97,Super Mario Bros. 2,NES,97,1988,Platform,97,Nintendo,97,5.39,1.18,0.7,0.19,7.46
98,Super Smash Bros. for Wii U and 3DS,3DS,98,2014,Fighting,98,Nintendo,98,3.24,1.35,2.42,0.43,7.45
99,Call of Duty: World at War,X360,99,2008,Shooter,99,Activision,99,4.79,1.9,0,0.69,7.37
100,Battlefield 3,X360,100,2011,Shooter,100,Electronic Arts,100,4.46,2.13,0.06,0.69,7.34
101,The Legend of Zelda: Twilight Princess,Wii,101,2006,Action,101,Nintendo,101,3.83,2.19,0.6,0.7,7.31
102,Call of Duty: Black Ops 3,XOne,102,2015,Shooter,102,Activision,102,4.52,2.09,0.01,0.67,7.3
103,Just Dance,Wii,103,2009,Misc,103,Ubisoft,103,3.51,3.03,0,0.73,7.27
104,Battlefield 3,PS3,104,2011,Shooter,104,Electronic Arts,104,2.85,2.93,0.35,1.1,7.23
105,Need for Speed Underground,PS2,105,2003,Racing,105,Electronic Arts,105,3.27,2.83,0.08,1.02,7.2
106,Tekken 3,PS,106,1998,Fighting,106,Sony Computer Entertainment,106,3.27,2.22,1.4,0.29,7.16
107,Crash Bandicoot 3: Warped,PS,107,1998,Platform,107,Sony Computer Entertainment,107,3.68,1.75,1.42,0.28,7.13
108,Super Smash Bros. Melee,GC,108,2001,Fighting,108,Nintendo,108,4.41,1.04,1.39,0.22,7.07
109,Mario Kart 8,WiiU,109,2014,Racing,109,Nintendo,109,3.13,2.07,1.27,0.49,6.96
110,Fallout 4,PS4,110,2015,Role-Playing,110,Bethesda Softworks,110,2.47,3.15,0.24,1.1,6.96
111,Mario Kart: Double Dash!!,GC,111,2003,Racing,111,Nintendo,111,4.12,1.77,0.87,0.19,6.95
112,Just Dance 4,Wii,112,2012,Misc,112,Ubisoft,112,4.14,2.21,0,0.56,6.91
113,FIFA 14,PS3,113,2013,Sports,113,Electronic Arts,113,0.78,4.32,0.07,1.73,6.9
114,Need for Speed Underground 2,PS2,114,2004,Racing,114,Electronic Arts,114,2.71,3.02,0.08,1.09,6.9
115,Medal of Honor: Frontline,PS2,115,2002,Shooter,115,Electronic Arts,115,2.93,2.75,0.17,0.99,6.83
116,Uncharted 3: Drake's Deception,PS3,116,2011,Action,116,Sony Computer Entertainment,116,2.77,2.8,0.19,1.06,6.83
117,Crash Bandicoot,PS,117,1996,Platform,117,Sony Computer Entertainment,117,3.23,2.35,0.94,0.3,6.82
118,Zumba Fitness,Wii,118,2010,Sports,118,505 Games,118,3.5,2.64,0,0.67,6.81
119,Gears of War 2,X360,119,2008,Shooter,119,Microsoft Game Studios,119,4.15,1.92,0.06,0.64,6.76
120,Uncharted 2: Among Thieves,PS3,120,2009,Action,120,Sony Computer Entertainment,120,3.27,2.25,0.21,1,6.73
121,Call of Duty 4: Modern Warfare,PS3,121,2007,Shooter,121,Activision,121,3.1,2.3,0.28,1.04,6.72
122,FIFA 12,PS3,122,2011,Sports,122,Electronic Arts,122,0.84,4.32,0.11,1.42,6.69
123,Big Brain Academy,DS,123,2005,Misc,123,Nintendo,123,1.67,2.78,1.6,0.62,6.67
124,Red Dead Redemption,PS3,124,2010,Action,124,Take-Two Interactive,124,2.79,2.61,0.17,1.03,6.6
125,FIFA 15,PS4,125,2014,Sports,125,Electronic Arts,125,0.79,4.29,0.05,1.47,6.59
126,Donkey Kong Country Returns,Wii,126,2010,Platform,126,Nintendo,126,3.25,1.84,1.03,0.47,6.59
127,The Elder Scrolls V: Skyrim,PS3,127,2011,Role-Playing,127,Bethesda Softworks,127,2.55,2.71,0.25,1.05,6.56
128,The Legend of Zelda,NES,128,1986,Action,128,Nintendo,128,3.74,0.93,1.69,0.14,6.51
129,Assassin's Creed III,PS3,129,2012,Action,129,Ubisoft,129,2.64,2.56,0.16,1.14,6.5
130,Halo: Combat Evolved,XB,130,2001,Shooter,130,Microsoft Game Studios,130,4.98,1.3,0.08,0.07,6.43
131,Pokémon Emerald Version,GBA,131,2004,Role-Playing,131,Nintendo,131,2.57,1.58,2.06,0.21,6.41
132,Kingdom Hearts,PS2,132,2002,Role-Playing,132,Sony Computer Entertainment,132,3.64,1.2,1.49,0.07,6.4
133,Pokémon Crystal Version,GB,133,2000,Role-Playing,133,Nintendo,133,2.55,1.56,1.29,0.99,6.39
134,Halo 3: ODST,X360,134,2009,Shooter,134,Microsoft Game Studios,134,4.34,1.35,0.06,0.61,6.36
135,Red Dead Redemption,X360,135,2010,Action,135,Take-Two Interactive,135,3.7,1.97,0.09,0.57,6.34
136,Super Mario Sunshine,GC,136,2002,Platform,136,Nintendo,136,4.01,1.26,0.87,0.17,6.31
137,Street Fighter II: The World Warrior,SNES,137,1992,Fighting,137,Capcom,137,2.47,0.83,2.87,0.12,6.3
138,World of Warcraft,PC,138,2004,Role-Playing,138,Activision,138,0.07,6.21,0,0,6.28
139,Driver,PS,139,1999,Action,139,GT Interactive,139,3.11,2.8,0.02,0.33,6.27
140,Kinect Sports,X360,140,2010,Sports,140,Microsoft Game Studios,140,3.92,1.78,0.03,0.51,6.24
141,Gears of War 3,X360,141,2011,Shooter,141,Microsoft Game Studios,141,4.05,1.62,0.07,0.49,6.24
142,Gears of War,X360,142,2006,Shooter,142,Microsoft Game Studios,142,3.54,1.9,0.07,0.6,6.11
143,Metal Gear Solid 2: Sons of Liberty,PS2,143,2001,Action,143,Konami Digital Entertainment,143,2.45,2.01,0.87,0.72,6.05
144,Sonic the Hedgehog 2,GEN,144,1992,Platform,144,Sega,144,4.47,1.2,0.16,0.19,6.03
145,Metal Gear Solid 4: Guns of the Patriots,PS3,145,2008,Action,145,Konami Digital Entertainment,145,2.63,1.74,0.83,0.83,6.03
146,Metal Gear Solid,PS,146,1998,Action,146,Konami Digital Entertainment,146,3.18,1.83,0.78,0.24,6.03
147,The Last of Us,PS3,147,2013,Action,147,Sony Computer Entertainment Europe,147,2.41,2.28,0.28,1.01,5.99
148,Final Fantasy XII,PS2,148,2006,Role-Playing,148,Square Enix,148,1.88,0,2.33,1.74,5.95
149,LittleBigPlanet,PS3,149,2008,Platform,149,Sony Computer Entertainment,149,2.8,2.05,0.17,0.9,5.92
150,Dragon Quest IX: Sentinels of the Starry Skies,DS,150,2009,Role-Playing,150,Nintendo,150,0.66,0.69,4.35,0.15,5.84
151,LEGO Star Wars: The Complete Saga,Wii,151,2007,Action,151,LucasArts,151,3.66,1.63,0,0.53,5.83
152,Resident Evil 2,PS,152,1998,Action,152,Virgin Interactive,152,1.88,1.47,2.02,0.45,5.82
153,Tekken 2,PS,153,1996,Fighting,153,Sony Computer Entertainment,153,2.26,1.89,1.36,0.23,5.74
154,Cooking Mama,DS,154,2006,Simulation,154,505 Games,154,3.13,1.94,0.07,0.58,5.72
155,Destiny,PS4,155,2014,Shooter,155,Activision,155,2.49,2.05,0.16,0.96,5.65
156,Tetris,NES,156,1988,Puzzle,156,Nintendo,156,2.97,0.69,1.81,0.11,5.58
157,Assassin's Creed II,PS3,157,2009,Action,157,Ubisoft,157,2.54,1.95,0.21,0.87,5.57
158,Super Smash Bros.,N64,158,1999,Fighting,158,Nintendo,158,2.95,0.6,1.97,0.04,5.55
159,Assassin's Creed,X360,159,2007,Adventure,159,Ubisoft,159,3.28,1.65,0.07,0.55,5.55
160,Batman: Arkham City,PS3,160,2011,Action,160,Warner Bros. Interactive Entertainment,160,2.7,1.91,0.11,0.8,5.53
161,Forza Motorsport 3,X360,161,2009,Racing,161,Microsoft Game Studios,161,2.99,1.92,0.1,0.51,5.51
162,Monster Hunter Freedom Unite,PSP,162,2008,Role-Playing,162,Capcom,162,0.47,0.57,4.13,0.34,5.5
163,Super Mario Advance,GBA,163,2001,Platform,163,Nintendo,163,3.14,1.24,0.91,0.2,5.49
164,Mario Kart: Super Circuit,GBA,164,2001,Racing,164,Nintendo,164,2.62,1.64,0.99,0.23,5.47
165,Super Mario World,GBA,165,2001,Platform,165,Nintendo,165,3.21,1.11,0.95,0.2,5.46
166,Pokemon Stadium,N64,166,1999,Strategy,166,Nintendo,166,3.18,1.24,0.94,0.09,5.45
167,Call of Duty: World at War,PS3,167,2008,Shooter,167,Activision,167,2.72,1.87,0,0.84,5.43
168,Crash Bandicoot: The Wrath of Cortex,PS2,168,2001,Platform,168,Universal Interactive,168,2.07,2.29,0.24,0.82,5.42
169,Minecraft,PS3,169,2014,Misc,169,Sony Computer Entertainment,169,1.97,2.51,0,0.94,5.42
170,Final Fantasy XIII,PS3,170,2009,Role-Playing,170,Square Enix,170,1.74,1.24,1.87,0.52,5.36
171,Dr. Mario,GB,171,1989,Puzzle,171,Nintendo,171,2.18,0.96,2,0.2,5.34
172,Pokemon Pinball,GB,172,1999,Misc,172,Nintendo,172,3.02,1.12,1.01,0.16,5.31
173,Assassin's Creed III,X360,173,2012,Action,173,Ubisoft,173,3.13,1.71,0.03,0.44,5.3
174,Final Fantasy IX,PS,174,2000,Role-Playing,174,SquareSoft,174,1.62,0.77,2.78,0.14,5.3
175,Final Fantasy X-2,PS2,175,2003,Role-Playing,175,Electronic Arts,175,1.92,1.08,2.11,0.17,5.29
176,Donkey Kong 64,N64,176,1999,Platform,176,Nintendo,176,3.33,0.79,1.09,0.06,5.27
177,Assassin's Creed II,X360,177,2009,Action,177,Ubisoft,177,3.1,1.56,0.08,0.51,5.27
178,Professor Layton and the Curious Village,DS,178,2007,Puzzle,178,Nintendo,178,1.22,2.48,1.03,0.52,5.26
179,Tomb Raider II,PS,179,1997,Action,179,Eidos Interactive,179,2.3,2.46,0.2,0.28,5.24
180,Madden NFL 2004,PS2,180,N/A,Sports,180,Electronic Arts,180,4.26,0.26,0.01,0.71,5.23
181,Dragon Quest VIII: Journey of the Cursed King,PS2,181,2004,Role-Playing,181,Square Enix,181,0.65,0.75,3.61,0.2,5.21
182,Diablo III,PC,182,2012,Role-Playing,182,Activision,182,2.43,2.15,0,0.62,5.2
183,Super Mario Bros. 3,GBA,183,2003,Platform,183,Nintendo,183,2.93,1.25,0.83,0.2,5.2
184,New Super Mario Bros. U,WiiU,184,2012,Platform,184,Nintendo,184,2.32,1.3,1.27,0.31,5.19
185,Super Mario Land 3: Wario Land,GB,185,1994,Platform,185,Nintendo,185,2.49,0.98,1.57,0.15,5.19
186,FIFA Soccer 13,X360,186,2012,Action,186,Electronic Arts,186,1.08,3.48,0.03,0.58,5.18
187,The Legend of Zelda: Phantom Hourglass,DS,187,2007,Action,187,Nintendo,187,1.9,1.83,0.95,0.49,5.17
188,Donkey Kong Country 2: Diddy's Kong Quest,SNES,188,1995,Platform,188,Nintendo,188,2.1,0.74,2.2,0.11,5.15
189,Tomodachi Life,3DS,189,2013,Simulation,189,Nintendo,189,0.96,2.02,1.89,0.28,5.15
190,Mario & Sonic at the Olympic Games,DS,190,2008,Sports,190,Sega,190,1.64,2.48,0.44,0.58,5.14
191,Medal of Honor: Rising Sun,PS2,191,2003,Shooter,191,Electronic Arts,191,1.98,2.23,0.13,0.8,5.13
192,Kirby's Dream Land,GB,192,1992,Platform,192,Nintendo,192,2.71,0.61,1.7,0.11,5.13
193,Fable III,X360,193,2010,Role-Playing,193,Microsoft Game Studios,193,3.59,1.11,0.05,0.38,5.13
194,Call of Duty: Advanced Warfare,XOne,194,2014,Shooter,194,Activision,194,3.21,1.53,0.01,0.38,5.13
195,Microsoft Flight Simulator,PC,195,1996,Simulation,195,Microsoft Game Studios,195,3.22,1.69,0,0.2,5.12
196,Guitar Hero II,PS2,196,2006,Misc,196,RedOctane,196,3.81,0.63,0,0.68,5.12
197,Resident Evil 5,PS3,197,2009,Action,197,Capcom,197,1.96,1.43,1.08,0.65,5.11
198,Grand Theft Auto V,XOne,198,2014,Action,198,Take-Two Interactive,198,2.66,2.01,0,0.41,5.08
199,Grand Theft Auto: Vice City Stories,PSP,199,2006,Action,199,Take-Two Interactive,199,1.7,2.02,0.16,1.21,5.08
200,FIFA Soccer 11,PS3,200,2010,Sports,200,Electronic Arts,200,0.6,3.29,0.06,1.13,5.08
201,Super Mario Bros.,GB,201,1999,Platform,201,Nintendo,201,3.4,1.3,0.15,0.22,5.07
202,Resident Evil,PS,202,1996,Action,202,Virgin Interactive,202,2.05,1.16,1.11,0.73,5.05
203,Tony Hawk's Pro Skater,PS,203,1999,Sports,203,Activision,203,3.42,1.38,0.02,0.2,5.02
204,Super Smash Bros. for Wii U and 3DS,WiiU,204,2014,Fighting,204,Nintendo,204,2.59,1.06,0.8,0.57,5.02
205,Warzone 2100,PS,205,1999,Strategy,205,Eidos Interactive,205,2.79,1.89,0,0.33,5.01
206,Spyro the Dragon,PS,206,1998,Platform,206,Sony Computer Entertainment,206,3.36,1.36,0.07,0.21,5
207,Link's Crossbow Training,Wii,207,2007,Shooter,207,Nintendo,207,3.06,1.18,0.29,0.46,5
208,Guitar Hero III: Legends of Rock,PS2,208,2007,Misc,208,Activision,208,3.49,0.01,0.01,1.48,4.98
209,Fallout 3,X360,209,2008,Role-Playing,209,Bethesda Softworks,209,3.39,1.03,0.09,0.44,4.96
210,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,DS,210,2007,Role-Playing,210,Nintendo,210,1.85,1.2,1.54,0.37,4.96
211,Uncharted: Drake's Fortune,PS3,211,2007,Action,211,Sony Computer Entertainment,211,2.31,1.73,0.12,0.78,4.94
212,Madden NFL 06,PS2,212,2005,Sports,212,Electronic Arts,212,3.98,0.26,0.01,0.66,4.91
213,LEGO Star Wars: The Complete Saga,DS,213,2007,Action,213,LucasArts,213,2.89,1.54,0,0.46,4.9
214,Diddy Kong Racing,N64,214,1997,Racing,214,Nintendo,214,2.91,0.99,0.89,0.1,4.88
215,Monster Hunter Freedom 3,PSP,215,2010,Role-Playing,215,Capcom,215,0,0,4.87,0,4.87
216,Dr. Mario,NES,216,1990,Puzzle,216,Nintendo,216,2.62,0.6,1.52,0.1,4.85
217,God of War III,PS3,217,2010,Action,217,Sony Computer Entertainment,217,2.74,1.36,0.12,0.63,4.84
218,StarCraft II: Wings of Liberty,PC,218,2010,Strategy,218,Activision,218,2.56,1.68,0,0.59,4.83
219,Assassin's Creed,PS3,219,2007,Adventure,219,Ubisoft,219,1.91,2,0.09,0.83,4.83
220,FIFA 15,PS3,220,2014,Sports,220,Electronic Arts,220,0.57,3.14,0.04,1.07,4.82
221,Crash Team Racing,PS,221,1999,Racing,221,Sony Computer Entertainment,221,2.57,1.57,0.44,0.21,4.79
222,FIFA 17,PS4,222,2016,Sports,222,Electronic Arts,222,0.28,3.75,0.06,0.69,4.77
223,Batman: Arkham City,X360,223,2011,Action,223,Warner Bros. Interactive Entertainment,223,2.99,1.31,0.04,0.41,4.76
224,Driver 2,PS,224,2000,Action,224,Atari,224,2.36,2.1,0.02,0.25,4.73
225,The Simpsons: Hit & Run,PS2,225,2003,Racing,225,Vivendi Games,225,1.73,2.19,0,0.79,4.7
226,Tony Hawk's Pro Skater 2,PS,226,2000,Sports,226,Activision,226,3.05,1.41,0.02,0.2,4.68
227,Animal Crossing: City Folk,Wii,227,2008,Simulation,227,Nintendo,227,1.87,1.12,1.32,0.37,4.68
228,The Lord of the Rings: The Two Towers,PS2,228,2002,Action,228,Electronic Arts,228,1.94,1.95,0.08,0.7,4.67
229,Forza Motorsport 4,X360,229,2011,Racing,229,Microsoft Game Studios,229,2.08,2.04,0.06,0.47,4.64
230,Tomb Raider,PS,230,1996,Action,230,Eidos Interactive,230,2.29,1.97,0.13,0.24,4.63
231,Guitar Hero III: Legends of Rock,Wii,231,2007,Misc,231,Activision,231,3.06,1.12,0,0.44,4.62
232,The Legend of Zelda: A Link to the Past,SNES,232,1991,Action,232,Nintendo,232,2.42,0.91,1.15,0.13,4.61
233,The Legend of Zelda: The Wind Waker,GC,233,2002,Action,233,Nintendo,233,2.6,0.99,0.89,0.13,4.6
234,Mario & Sonic at the Olympic Winter Games,Wii,234,2009,Sports,234,Sega,234,1.89,1.99,0.22,0.48,4.58
235,Luigi's Mansion: Dark Moon,3DS,235,2013,Action,235,Nintendo,235,1.78,1.39,1.1,0.3,4.58
236,Splatoon,WiiU,236,2015,Shooter,236,Nintendo,236,1.55,1.15,1.44,0.43,4.57
237,The Last of Us,PS4,237,2014,Action,237,Sony Computer Entertainment,237,1.78,1.87,0.07,0.82,4.55
